Country;DATE;Latitude;Longitude;PARAM;Value;MUNIT;uM
Lithuania;07/03/2007;55.71833333;21.06166667;ZN;51,5;ug/l;0.012048068
Lithuania;07/03/2007;55.73500000;21.05000000;ZN;51,5;ug/l;0.012048068
Lithuania;07/03/2007;55.88166667;20.34166667;ZN;51,5;ug/l;0.012048068
Lithuania;08/03/2007;55.31166667;20.95666667;ZN;51,5;ug/l;0.012048068
Lithuania;08/03/2007;55.55833333;21.07833333;ZN;51,5;ug/l;0.012048068
Lithuania;16/05/2007;55.31166667;20.95666667;ZN;51,5;ug/l;0.012048068
Lithuania;16/05/2007;55.31166667;20.95666667;ZN;51,5;ug/l;0.012048068
Lithuania;17/05/2007;55.73500000;21.05000000;ZN;51,5;ug/l;0.012048068
Lithuania;17/05/2007;55.88166667;20.34166667;ZN;51,5;ug/l;0.012048068
Lithuania;08/08/2007;56.02833333;20.83333333;ZN;51,5;ug/l;0.012048068
Lithuania;09/08/2007;55.31166667;20.95666667;ZN;51,5;ug/l;0.012048068
Lithuania;09/08/2007;55.71833333;21.06166667;ZN;51,5;ug/l;0.012048068
Lithuania;09/08/2007;55.71833333;21.06166667;ZN;51,5;ug/l;0.012048068
Lithuania;21/11/2007;55.31166667;20.95666667;ZN;51,5;ug/l;0.012048068
Lithuania;21/11/2007;55.31166667;20.95666667;ZN;51,5;ug/l;0.012048068
Lithuania;22/11/2007;55.55833333;21.07833333;ZN;51,5;ug/l;0.012048068
Russia;18/06/1998;55.33000000;15.57100000;ZN;5,04;ug/l;0.001179073
Russia;21/06/1998;54.97166667;13.22300000;ZN;8,1;ug/l;0.001894939
Russia;09/07/1998;56.73200000;18.09866667;ZN;7,52;ug/l;0.001759252
Russia;16/07/1998;55.85433333;18.84433333;ZN;5,52;ug/l;0.001291366
Lithuania;07/03/2007;55.71833333;21.06166667;ZN;51,5;ug/l;0.012048068
Lithuania;07/03/2007;55.71833333;21.06166667;ZN;51,5;ug/l;0.012048068
Lithuania;08/03/2007;55.31166667;20.95666667;ZN;51,5;ug/l;0.012048068
Lithuania;08/03/2007;55.31166667;20.95666667;ZN;51,5;ug/l;0.012048068
Lithuania;16/05/2007;55.31166667;20.95666667;ZN;51,5;ug/l;0.012048068
Lithuania;16/05/2007;55.55833333;21.07833333;ZN;51,5;ug/l;0.012048068
Lithuania;17/05/2007;55.73500000;21.05000000;ZN;51,5;ug/l;0.012048068
Lithuania;17/05/2007;55.73500000;21.05000000;ZN;51,5;ug/l;0.012048068
Lithuania;08/08/2007;56.02833333;20.83333333;ZN;51,5;ug/l;0.012048068
Lithuania;08/08/2007;56.02833333;20.83333333;ZN;51,5;ug/l;0.012048068
Lithuania;09/08/2007;55.71833333;21.06166667;ZN;51,5;ug/l;0.012048068
Lithuania;09/08/2007;55.73500000;21.05000000;ZN;51,5;ug/l;0.012048068
Lithuania;20/11/2007;56.02833333;20.83333333;ZN;51,5;ug/l;0.012048068
Lithuania;21/11/2007;55.31166667;20.95666667;ZN;51,5;ug/l;0.012048068
Lithuania;21/11/2007;55.73500000;21.05000000;ZN;51,5;ug/l;0.012048068
Lithuania;22/11/2007;55.55833333;21.07833333;ZN;51,5;ug/l;0.012048068
Russia;10/06/1998;59.76033333;28.24083333;ZN;7;ug/l;0.001637601
Russia;20/06/1998;55.45883333;15.23183333;ZN;7,33;ug/l;0.001714803
Russia;15/07/1998;58.98966667;21.34950000;ZN;7,2;ug/l;0.00168439
Russia;21/07/1998;54.90866667;14.27433333;ZN;6,25;ug/l;0.001462144
Russia;10/08/1998;57.15000000;19.93000000;ZN;6,31;ug/l;0.001476181
Lithuania;12/02/2008;55.88166667;20.34166667;ZN;0;ug/l;0
Lithuania;12/02/2008;55.88166667;20.34166667;ZN;0;ug/l;0
Lithuania;13/02/2008;55.31166667;20.95666667;ZN;0;ug/l;0
Lithuania;13/02/2008;55.55833333;21.07833333;ZN;0;ug/l;0
Lithuania;13/02/2008;55.73500000;21.05000000;ZN;0;ug/l;0
Lithuania;08/05/2008;55.31166667;20.95666667;ZN;0;ug/l;0
Lithuania;08/05/2008;55.73500000;21.05000000;ZN;0;ug/l;0
Lithuania;08/05/2008;55.88166667;20.34166667;ZN;0;ug/l;0
Lithuania;19/08/2008;56.02833333;20.83333333;ZN;0;ug/l;0
Lithuania;20/08/2008;55.71833333;21.06166667;ZN;0;ug/l;0
Lithuania;20/08/2008;55.73500000;21.05000000;ZN;0;ug/l;0
Lithuania;20/08/2008;55.88166667;20.34166667;ZN;0;ug/l;0
Lithuania;21/08/2008;55.31166667;20.95666667;ZN;0;ug/l;0
Lithuania;23/10/2008;55.31166667;20.95666667;ZN;0;ug/l;0
