Strain,Concentration,Inhibition
EDTAfree,8,1
EDTAfree,5.3333333,1
EDTAfree,3.5555556,1
EDTAfree,2.3703704,1
EDTAfree,1.5802469,1
EDTAfree,1.0534979,1
EDTAfree,0.702332,1
EDTAfree,0.4682213,1
EDTAfree,0.3121475,1
EDTAfree,0.2080984,1
EDTAfree,0.1387322,1
EDTAfree,0.0924882,0.1168007
EDTAfree,1.0534979,1
EDTAfree,0.702332,1
EDTAfree,0.4682213,1
EDTAfree,1.0534979,1
EDTAfree,0.702332,1
EDTAfree,0.4682213,1
EDTAfree,0,-0.1210251
EDTAfree,0,0.2505986
EDTAfree,0,0.0343296
EDTAfree,0,-0.0411778
EDTAfree,0,-0.0698282
EDTAfree,0,-0.0907879
